orbid,a,e,inc,omega,Omega,omega_bar,ma,epoch_M,H,mag,sun_dist,ra,dec,peri_date,peri_ra,peri_dec,r,gr,ri,iz
0000001,30.13303191478243,0.024966002420023975,29.547492862855147,266.21055500651397,84.35307898466837,350.5636339911823,296.04410981098624,44641.5,8.086862706556841,23.285855387901325,29.38073056707531,285.8194764066903,-32.18592782592334,55367.7901404796,0.09664749018786419,-0.5388445447687634,29.38073056707531,1.0,0.5,0.2
0000002,29.970925371640917,0.01874171547738717,24.711841374103386,276.73388739066417,81.63534003575492,358.3692274264191,287.4208225538431,44641.5,8.178072337803007,23.376578562052906,29.40921881573162,286.05726794847817,-31.66265169365365,56715.940481222,0.17164074869561835,-0.38025311099745507,29.40921881573162,1.0,0.5,0.2
0000003,29.90589608112737,0.0495831529733141,40.74108431985604,326.14355102059653,230.62160568041455,196.76515670101105,108.12929761812853,44641.5,9.572535187390544,24.87885444785031,28.4230674609328,301.1764047268921,19.904436966877984,86406.99449957842,3.3356662805352633,-0.48650502682315455,28.4230674609328,1.0,0.5,0.2
0000004,29.924511437113118,0.05907364701436529,25.320352280755326,186.38099891846846,318.74101287095476,145.12201178942325,158.84788568623264,44641.5,9.660659589569015,25.13649971210513,28.156761411399764,312.7985976977479,-23.056807328093917,78027.92745408035,2.547113082208681,0.18958862903846432,28.156761411399764,0.6,0.2,0.05
0000005,29.946913882739107,0.008289441071642055,13.485831321887634,233.6862562958875,19.83422742910319,253.52048372499067,35.94383887751132,44641.5,8.726194260459847,23.92459195806229,29.6986707048306,296.23524729895905,-34.80566065587617,98487.46172730802,4.317870741683883,-0.5733831244774761,29.6986707048306,1.0,0.5,0.2
0000006,30.144942790113724,0.05262467376942524,17.123251910584795,64.36275746709326,114.30545718573819,178.66821465283147,146.1573512277541,44641.5,8.419817983482973,23.897165555512636,28.558575009986,333.4017108990427,-20.795705220725022,80527.14577157075,3.179238759648749,0.2765364481116625,28.558575009986,1.0,0.5,0.2
0000007,30.079086951620518,0.016131070298146765,6.626860125288428,180.08495280729588,204.42056184983562,24.50551465713147,261.0673314651968,44641.5,9.945147498515679,25.196362202987686,29.593879085499857,286.097345286398,-16.110519544947767,61189.344911971246,0.42835829712079604,0.1779926432214449,29.593879085499857,0.6,0.2,0.05
0000008,30.06639478566406,0.036420904279030934,33.19156075129166,62.432189011834375,104.77568827719196,167.20787728902633,101.94245282224132,44641.5,8.971072351694511,24.235857412716904,28.971349499159835,277.21957272586536,-16.969757494315594,87777.84492300078,3.0635357698241883,0.6017770177202562,28.971349499159835,1.0,0.5,0.2
0000009,29.906401225656094,0.012206840756006636,5.429610621154383,75.95018036856268,84.92244334373055,160.87262371229323,123.27346396314233,44641.5,8.51888980185629,23.7645545109002,29.541338548309266,288.76280692375104,-24.207912488592875,83896.76569905781,2.871307996276848,0.21155184235115043,29.541338548309266,1.0,0.5,0.2
0000010,30.025096887459668,0.008210131655931891,14.240002974600474,293.5301951924086,125.61307704706296,59.14327223947157,251.29491413237304,44641.5,8.647377939817922,23.918976984184688,29.778586889031512,313.64269366433723,-18.405283473635663,62774.98320424138,1.0607325106421313,0.12195536900222252,29.778586889031512,1.0,0.5,0.2
0000011,30.069579302449128,0.028877309876261345,19.064426362993657,172.78970901399722,18.679790880163466,191.4694998941607,89.87416146349283,44641.5,8.993081318273672,24.23449674900156,29.201250743083488,290.7496404395312,-41.13770223575075,89802.32850904558,3.366105713682122,-0.05289746680378347,29.201250743083488,1.0,0.5,0.2
0000012,29.963385806916857,0.03336461917029839,47.54850003961589,353.56092332807935,158.6901075024441,152.2510308305234,108.64444040247365,44641.5,9.836993654819752,25.094801323224203,28.96366885041635,273.1120040371402,21.82269895528334,86441.81645854228,2.6990487558603236,0.0977752420720773,28.96366885041635,0.6,0.2,0.05
0000013,29.94782479193802,0.15905813974368788,12.50606937558501,114.12354316018425,182.89775237618431,297.0212955363686,1.690004130724043,44641.5,9.598303277616646,24.091948134562166,25.184379491162463,301.7384993863717,-9.024440304156627,104181.8789117875,5.226235912434598,-0.1612005511072272,25.184379491162463,0.6,0.2,0.05
0000014,30.07522141962892,0.05750172805375766,13.174084773413739,307.1426251438668,244.838689421318,191.9813145651848,92.29338955595742,44641.5,9.819611320408265,25.08981976947466,28.345844216400874,292.1176111176198,-12.44300085266364,89410.4687011481,3.2807404495808212,-0.2523892975877204,28.345844216400874,1.0,0.5,0.2
0000015,30.057860127208862,0.030488415998551014,42.28186260114795,289.81679193128224,29.26957314828473,319.086365079567,333.8518059777239,44641.5,9.114755721411992,24.2326832626362,29.14144358362426,305.4704010025963,-62.248501071356706,49010.51496469638,6.049152237928152,-0.8342572037578023,29.14144358362426,0.6,0.2,0.05
0000016,29.91863939492777,0.051699272878185,45.87853944315076,228.53926385707322,271.25707733160425,139.7963411886775,162.09081054027897,44641.5,9.625280854516046,25.060991430641725,28.371867492705384,294.7056720365267,1.1362604512900862,77480.0115424126,2.139259443649936,-0.2518669434175658,28.371867492705384,0.6,0.2,0.05
0000017,29.91252433352164,0.019015023275964205,48.63576495616919,347.6904777650323,269.3954164445001,257.0858942095324,28.414757863033344,44641.5,8.590398307178564,23.729484325060604,29.343736987076884,282.78418820183884,-10.147732413909795,99643.63342454915,4.5019690751433155,-0.5589185541392769,29.343736987076884,1.0,0.5,0.2
0000018,30.016381969099545,0.08563263065310914,14.800620920228797,153.76471753815625,105.83818979562349,259.60290733377974,44.70736587380061,44641.5,8.03325997948688,23.041760724768988,27.446000218397,316.9366853535977,-23.043605324152473,97213.69190105062,4.5743576866887405,-0.29326225216418167,27.446000218397,0.6,0.2,0.05
0000019,30.007943146976455,0.06539551240613371,25.630361573303034,38.21142951331185,182.4697702446199,220.68119975793175,107.46210326649108,44641.5,9.31315377781853,24.689027937449616,28.045558328625802,335.72789917453343,1.8577449365549028,86732.15133488084,3.8236619138191164,0.025201534945673003,28.045558328625802,0.6,0.2,0.05
0000020,29.986109062349584,0.07340665552653451,26.18878203251965,224.73621478325006,353.4942696336564,218.2304844169065,67.4471355963052,44641.5,8.21594790248427,23.352761323157694,27.784929083828594,306.35186783025546,-42.026222747873234,93348.2636673023,3.55558297097259,-0.5124640870280845,27.784929083828594,0.6,0.2,0.05
0000021,30.105881011531647,0.04498366160471713,2.490799339550881,113.32207773482433,190.1244654731725,303.44654320799685,333.08662991498176,44641.5,9.287927474497659,24.343727448449645,28.75160824779703,276.4807449547527,-20.831284341561478,49149.14638597417,5.327662080465682,-0.2977656207027988,28.75160824779703,1.0,0.5,0.2
0000022,30.03687023266609,0.06618322607688572,10.15705039544405,135.49448762237174,227.08962280620463,2.5841104285763663,284.1133706597551,44641.5,8.74444495374121,23.91966549097237,28.04893325941547,280.9874946040819,-15.067642078184042,57307.86577590791,6.252680180250098,0.12422780963927521,28.04893325941547,0.6,0.2,0.05
0000023,30.1439856620567,0.023586344301335473,50.45940901588379,96.11320187381413,340.0000875224301,76.11328939624423,216.19267949326382,44641.5,9.592645341979301,24.939034257041325,29.43299923761691,321.16753546757326,-52.49364980329978,68773.13516948014,1.0993903333872752,1.246102280016114,29.43299923761691,1.0,0.5,0.2
0000024,30.03430711284361,0.05311280519357447,13.748223521136046,177.05524721381187,148.49297337641966,325.5482205902315,329.1447534837498,44641.5,7.967870623716759,23.012923563581143,28.43910081003516,294.50023676112806,-13.276049304574832,49790.94224048249,5.750833751441409,-0.20375963161349317,28.43910081003516,1.0,0.5,0.2
0000025,29.969839829457833,0.058078569406894806,55.75494767525797,33.64519682332982,322.86731448114375,356.51251130447355,312.1095111513125,44641.5,8.185648769129324,23.276299517798172,28.229234406809145,320.83158553802787,-31.746393080673272,52608.2400708896,5.808267788226423,0.30500233136952726,28.229234406809145,1.0,0.5,0.2
0000026,29.93683754099626,0.03953240876587907,26.467438435365708,222.8381596619047,7.087783395053413,229.92594305695812,57.55052049310837,44641.5,8.157435827646918,23.297437742273743,28.753362242167885,303.2814199103979,-45.86289535477027,94871.88038475312,3.7892225275337164,-0.5726510105835533,28.753362242167885,1.0,0.5,0.2
0000027,30.048875125445917,0.056456777933249276,55.851610210410925,303.4009347040631,198.278934352531,141.6798690565941,176.23579654920684,44641.5,7.941651293190674,23.44124065426937,28.352412455344677,319.4861613990508,31.748754175922198,75332.28448072549,2.445227314438172,-0.5633967920285298,28.352412455344677,1.0,0.5,0.2
0000028,30.077016171120075,0.005514375198477699,42.58730887189017,112.19453641326385,209.52103181914143,321.7155682324053,334.5386169347087,44641.5,7.379425334844028,22.60277860496305,29.911160219101838,291.18437737741937,20.49418082662552,48899.82554296942,5.496620482147626,0.41406982640141343,29.911160219101838,0.6,0.2,0.05
0000029,30.106714703376845,0.024951005184732193,18.16313993754745,81.04228487978561,10.759417938040796,91.80170281782641,183.8122176654285,44641.5,9.86734924141086,25.206588021650504,29.355521908717638,279.0036632613073,-41.25664218663809,74151.93318472405,1.588958528785564,0.7324170063660118,29.355521908717638,1.0,0.5,0.2
0000030,30.14569345385934,0.05102951567836577,15.485599321103523,88.22739047548842,97.78687844433004,186.01426891981845,122.07635300200124,44641.5,9.156387106610227,24.557817439643273,28.607373317120416,318.47440616737924,-25.097693695747047,84569.74951906141,3.3124244906612796,0.21745526201073212,28.607373317120416,1.0,0.5,0.2
0000031,30.1186109700431,0.045587324550387914,30.6693635837585,85.03349094102411,272.94594010414977,357.9794310451739,257.88589058040657,44641.5,9.280242843122972,24.53815344644694,28.745584076744873,252.8428307393893,-33.76454228783958,61755.160298463,5.990351348391137,0.444617452782558,28.745584076744873,1.0,0.5,0.2
0000032,30.04850324477264,0.024021445502904186,28.138852599468265,339.08237152239013,228.440335537844,207.5227070602341,131.76761213444559,44641.5,9.340279425632339,24.689873947128376,29.326694761634492,336.0210495025102,16.98165274589545,82758.28696869292,3.5290201513397923,-0.34347866104228547,29.326694761634492,0.6,0.2,0.05
0000033,30.009125760679233,0.03870684887991259,6.505925356929761,89.87182607065397,319.46690721533264,49.33873328598662,250.11930626143877,44641.5,9.507229593288958,24.812315217332927,28.84756706484233,299.817301632752,-23.284224745557676,62956.467516458855,0.7882262288402786,0.41258184172273166,28.84756706484233,1.0,0.5,0.2
0000034,30.110207162795007,0.06982849293985184,41.29205925755222,134.47846539465093,328.7154566979294,103.19392209258035,181.1783287118314,44641.5,9.813007470251737,25.355728370967697,28.0076567745103,302.8996286263155,-47.96846778597301,74598.30617951024,2.0336910129697,0.8727495762639761,28.0076567745103,1.0,0.5,0.2
0000035,30.0777170935806,0.015470595634024762,11.571262042788753,222.34029630706294,18.420720401219327,240.76101670828228,31.38368480854691,44641.5,7.356449249977049,22.52469220598886,29.61239689483122,275.6643002044086,-34.48749197074132,99603.32834649895,4.087440656664828,-0.4758576127632854,29.61239689483122,0.6,0.2,0.05
0000036,29.934709916948343,0.05319944524351234,59.663197028659226,57.03557753817088,317.24148983097797,14.277067369148824,306.2493738971151,44641.5,9.313180397510303,24.437909641008037,28.342199955841224,320.6356001083756,-16.991639015895114,53567.376078374335,5.818508961681728,0.723472235179549,28.342199955841224,1.0,0.5,0.2
